Nominated,Zone,years_zone,gender,age,satisfaction_rubbish_collection
yes,ZONE 3,2,female,30,satisfied
yes,KASASIRO,1,male,28,satisfied
yes,KASASIRO,17,male,40,very_satisfied
yes,KASASIRO,37,female,55,very_dissatisf
yes,ZONE 3,6,male,25,neither_satisf
yes,ZONE 3,3,female,25,neither_satisf
no,KISENYI,4,female,20,dissatisfied
no,KONDOGORO,9,male,28,dissatisfied
yes,ZONE 3,4,male,45,satisfied
yes,KASASIRO,15,male,53,very_dissatisf
no,KISENYI,2,female,38,satisfied
yes,KASASIRO,2,male,47,satisfied
yes,ZONE 3,5,male,26,satisfied
no,KISENYI,4,female,20,dissatisfied
yes,MAMBOBADO,3,male,26,dissatisfied
yes,MBUYA HILL,2,male,28,satisfied
yes,KASASIRO,15,male,72,satisfied
yes,KASASIRO,1,female,22,very_dissatisf
yes,ZONE 3,14,male,54,satisfied
yes,MAMBOBADO,3,male,33,dissatisfied
no,KONDOGORO,18,male,43,neither_satisf
yes,MAMBOBADO,4,male,39,neither_satisf
yes,MAMBOBADO,14,male,46,dissatisfied
yes,MBUYA HILL,3,female,33,very_satisfied
yes,MBUYA HILL,8,female,26,satisfied
no,KONDOGORO,10,female,28,dissatisfied
yes,KASASIRO,6,female,26,very_dissatisf
yes,MBUYA HILL,3,male,27,satisfied
no,KONDOGORO,11,female,33,very_dissatisf
no,KONDOGORO,7,female,32,neither_satisf
yes,KASASIRO,7,female,42,very_dissatisf
no,KONDOGORO,3,male,34,satisfied
yes,MBUYA HILL,3,male,37,satisfied
yes,MBUYA HILL,2,male,24,satisfied
yes,KASASIRO,3,male,30,satisfied
yes,KASASIRO,1,male,28,satisfied
yes,KASASIRO,3,male,48,satisfied
yes,ZONE VII,3,male,20,satisfied
yes,ZONE VII,3,male,20,neither_satisf
yes,ZONE 8,1,female,23,neither_satisf
no,ZONE I,2,male,21,neither_satisf
yes,ZONE 8,2,male,28,neither_satisf
no,ZONE I,1,female,28,dissatisfied
yes,ZONE VII,4,female,28,satisfied
no,ZONE I,16,female,50,dissatisfied
no,ZONE I,2,male,23,very_dissatisf
yes,ZONE 8,2,male,27,dissatisfied
no,ZONE I,24,male,32,dissatisfied
yes,ZONE I,5,female,26,dissatisfied
yes,ZONE VII,15,female,34,dissatisfied
yes,ZONE I,10,male,22,neither_satisf
yes,ZONE I,40,female,40,satisfied
yes,ZONE I,7,female,32,neither_satisf
yes,ZONE 8,6,female,22,dissatisfied
yes,ZONE I,1,female,23,dissatisfied
yes,ZONE 8,2,male,25,very_dissatisf
yes,ZONE VII,7,female,24,satisfied
yes,ZONE 8,4,female,26,satisfied
yes,ZONE VII,15,female,27,very_dissatisf
yes,ZONE VII,10,female,27,very_satisfied
yes,ZONE I,1,male,29,dissatisfied
no,REGIONAL FLATS,6,male,38,satisfied
no,ZONE I,6,female,24,very_dissatisf
no,REGIONAL FLATS,2,male,28,neither_satisf
yes,ZONE VII,1,male,22,dissatisfied
yes,ZONE VII,27,female,27,very_dissatisf
yes,ZONE 8,1,male,22,neither_satisf
no,ZONE I,2,male,32,very_dissatisf
no,ZONE I,7,male,20,satisfied
yes,ZONE 8,4,male,22,dissatisfied
yes,ZONE VII,27,female,27,very_dissatisf
yes,ZONE VII,5,female,28,dissatisfied
no,REGIONAL FLATS,3,female,29,satisfied
yes,ZONE 8,3,female,23,satisfied
no,ZONE I,17,female,50,dissatisfied
yes,ZONE VII,2,male,33,very_dissatisf
yes,REGIONAL FLATS,6,female,20,satisfied
yes,REGIONAL FLATS,7,female,24,satisfied
yes,ZONE 8,1,male,23,dissatisfied
no,ZONE I,1,female,25,very_dissatisf
