years,fireRisk,vote,districtBen,districtSuc,districtSafe,forest,evac,chip,noChip,defense,noDefense,lostHome,ownRent,income,eth,spouseEth,edu
27,4,1,4,3,3,1,0,0,0,0,0,0,0,2,5,69,4
36,4,1,5,5,5,5,1,3,69,1,69,1,0,1,1,1,4
9,3,3,4,4,4,3,1,0,69,0,69,0,0,2,1,1,4
5,4,1,5,4,4,4,1,3,69,0,5,0,0,3,1,69,4
14,5,1,5,5,4,5,1,1,69,1,69,0,0,3,1,1,4
25,4,1,3,3,3,4,1,1,69,0,1,0,0,2,1,1,3
41,2,0,2,2,2,4,0,0,3,0,3,0,0,69,69,69,69
41,4,2,4,3,3,4,1,2,69,0,3,0,0,69,1,1,4
27.4,4,1,4,4,4,4,1,0,5,1,69,0,0,3,1,69,4
27.4,5,1,5,4,5,5,1,0,2,1,69,0,0,69,69,69,69
0.3,3,3,5,5,5,4,0,0,1,0,1,0,0,69,69,69,69
3.1,4,3,5,5,5,4,1,0,5,1,69,1,0,3,1,1,4
10,4,1,3,4,4,2,1,1,69,0,1,0,0,1,1,69,3
10.3,5,1,5,5,5,5,1,0,69,1,69,1,0,69,69,69,69
20,4,0,3,3,1,3,1,0,5,0,69,0,0,3,5,1,3
27.8,4,1,4,4,4,5,1,0,5,0,3,0,0,69,1,69,4
4.1,3,3,4,4,4,2,1,1,69,1,69,0,0,69,1,1,4
37,4,0,4,4,4,5,1,2,69,1,69,0,0,2,1,1,3
45,3,2,4,4,4,4,1,0,69,1,69,0,0,1,1,69,3
2,5,1,5,5,5,5,0,0,1,1,69,0,0,3,1,1,3
10.8,3,2,3,3,3,3,1,0,4,0,4,0,0,69,69,69,69
19.7,3,1,4,4,4,3,1,0,4,0,4,0,0,3,1,1,4
6.7,3,2,4,4,4,3,0,3,69,1,69,0,0,2,1,1,3
18.8,4,1,5,5,5,5,1,0,5,1,69,0,0,3,1,1,4
11,1,0,1,1,1,1,1,0,1,0,1,0,0,3,3,69,4
31.5,3,2,4,3,3,5,1,3,69,0,3,0,0,3,1,1,4
6,5,1,5,5,5,5,1,3,69,1,69,1,0,3,1,1,4
48.5,5,69,5,4,3,4,1,3,69,1,69,0,0,3,1,1,4
11.9,5,1,5,5,5,5,1,2,69,1,69,0,0,3,1,2,4
27,4,1,4,4,4,69,1,2,69,1,69,1,0,2,1,1,4
17.2,5,1,5,5,5,69,1,2,69,1,69,0,0,69,1,1,4
13,4,2,4,4,4,3,1,0,5,0,5,1,0,69,69,69,69
26,4,2,4,4,4,69,1,2,69,0,5,1,0,3,1,1,3
31,4,2,4,4,4,5,0,2,69,0,2,0,0,69,1,69,3
29.8,4,2,4,3,4,2,1,0,5,1,69,1,0,3,1,1,4
29.2,5,2,4,4,4,4,1,0,4,0,3,0,0,2,1,5,4
39.8,4,1,4,3,3,3,1,0,1,0,4,0,0,69,1,1,3
38,5,2,4,4,4,3,1,2,69,1,69,0,0,3,1,1,4
10,5,1,5,3,4,5,1,2,69,1,69,0,0,69,1,1,4
15.3,3,1,5,5,5,4,0,3,69,0,1,0,0,1,1,1,3
43,5,2,3,3,3,3,1,0,1,0,1,0,0,2,1,1,3
9.1,5,1,3,3,3,5,1,0,2,1,69,0,0,3,1,1,4
52.1,3,0,2,2,2,2,1,0,69,0,4,0,0,1,1,1,2
8,4,2,4,3,4,4,1,2,69,0,3,0,0,2,1,1,4
20.6,3,0,4,3,4,3,1,0,1,0,1,0,0,2,1,1,3
11.6,5,1,5,5,5,3,1,3,69,1,69,0,0,3,1,1,4
62.5,3,2,3,3,3,3,1,0,69,0,69,0,0,69,69,69,69
22.9,4,1,4,2,2,4,1,0,5,1,69,0,0,2,1,1,4
18,4,0,3,3,3,1,1,2,69,0,69,0,0,3,1,1,3
17.1,4,0,3,3,1,2,1,2,69,0,3,0,0,1,1,1,3
15,5,1,4,4,4,5,1,3,69,0,5,0,0,69,1,1,4
12,4,1,4,4,4,4,1,0,69,0,69,0,0,2,1,1,3
22,4,3,4,4,4,3,1,2,69,1,69,0,0,2,1,1,3
2,5,3,5,5,5,4,0,1,69,0,4,0,0,2,1,1,4
35,5,1,5,4,4,5,1,1,69,0,2,1,0,2,1,69,4
29,5,1,5,5,5,3,1,0,5,0,5,0,0,2,1,1,3
22.1,4,1,5,4,4,5,1,2,69,0,3,0,0,2,1,1,3
37,5,1,5,5,5,2,1,0,3,0,3,0,0,69,69,69,69
35,4,1,4,3,3,4,1,0,4,0,4,0,0,69,1,1,69
30,5,1,3,4,3,3,1,0,1,0,1,0,0,2,1,1,2
18,5,3,3,3,3,3,1,0,4,0,4,0,0,2,1,1,4
30,4,1,4,4,4,4,1,0,69,0,69,0,0,2,1,1,3
21,4,1,4,4,4,3,1,0,4,0,4,0,0,2,2,1,2
14.3,4,2,4,4,4,4,1,0,2,0,2,0,0,69,69,69,69
23,4,1,4,4,4,4,1,1,69,0,1,0,0,2,1,1,4
